PRIMARY KEY,name,address,city,state,zipcode,phone,email,website,productCapabilityId,paymentTerms,leadTime,rate,deliveryFee
1,WinstonFlowers,131 Newbury Street,Boston,massachusetts,02116,800-457-4901,a@gmail.com,a.com,0,1,2,0.15,9.99
2,WinstonFlowers,176 Federal Street,Boston,massachusetts,02110,800-457-4901,b@gmail.com,b.com,1,2,3,0.51,5.12
3,WinstonFlowers,32 Main Street,Concord,massachusetts,01742,800-457-4901,b@gmail.com,a.com,2,3,1,0.67,7.52
4,WinstonFlowers,8 Main Street,Hingam,massachusetts,02043,800-457-4901,b@gmail.com,b.com,3,4,2,0.82,8.88
5,WinstonFlowers,11 Florence Street,Newton,massachusetts,02459,800-457-4901,b@gmail.com,a.com,4,1,3,0.98,1.23
6,WinstonFlowers,31 Central Street,Wellesley,massachusetts,02481,800-457-4901,b@gmail.com,b.com,5,2,4,0.99,5.55
7,WinstonFlowers,382 Greenwich Ave,Greenwich,Connecticut,06830,800-457-4901,b@gmail.com,a.com,6,3,4,0.41,9.99
8,Ricky's Flower Market,238 Washington Street,Somerville,massachusetts,02143,617-628-7569,b@gmail.com,b.com,7,4,1,0.52,5.12
9,Bow Street Flowers,108 Beacon Street,Somerville,massachusetts,02143,617-492-0080,b@gmail.com,a.com,0,1,1,0.63,7.52
10,Brattle Square Flowers,31 Brattle Street,Cambridge,massachusetts,02138,617-876-9839,b@gmail.com,b.com,1,2,2,0.64,8.88
11,Petali Flowers,92 Mount Auburn Street,Cambridge,massachusetts,02138,617-492-3600,b@gmail.com,a.com,2,3,3,0.15,1.23
12,West Elm,160 Brookline Avenue,Boston,massachusetts,02215,617-450-9500,b@gmail.com,b.com,3,4,4,0.51,5.55
13,Niche Urban Garden Supply,619 Tremont Street,Boston,massachusetts,02118,857-753-4294,b@gmail.com,a.com,4,1,4,0.67,9.99
14,Marc Hall Objekt,531 Albany Street,Boston,massachusetts,02118,617-391-6236,b@gmail.com,b.com,5,2,1,0.82,5.12
